mac_cliente,mac_ap,banda,rssi,time_step
172.253.206.125.31.69,44.208.45.106.167.16,1,-68,202
40.39.191.157.33.63,44.208.45.127.67.64,0,-90,202
240.3.140.45.251.130,44.208.45.127.67.64,0,-38,203
40.39.191.157.33.63,44.208.45.127.67.64,0,-89,203
172.253.206.125.31.69,44.208.45.106.167.16,1,-66,203
24.33.149.227.215.219,44.208.45.127.103.160,0,-72,203
176.197.89.188.18.183,44.208.45.127.67.64,0,-90,203
148.233.121.198.198.71,44.208.45.127.103.160,0,-94,203
8.212.12.130.83.142,44.208.45.125.172.128,0,-86,203
240.3.140.45.251.130,44.208.45.127.67.64,0,-38,204
176.197.89.188.18.183,44.208.45.127.67.64,0,-89,204
120.228.0.57.52.255,44.208.45.127.103.160,0,-92,204
172.253.206.125.31.69,44.208.45.106.167.16,1,-67,204
24.33.149.227.215.219,44.208.45.127.103.160,0,-72,204
8.212.12.130.83.142,44.208.45.125.172.128,0,-87,204
40.39.191.157.33.63,44.208.45.127.67.64,0,-89,204
148.233.121.198.198.71,44.208.45.127.103.160,0,-69,204
176.197.89.188.18.183,44.208.45.127.67.64,0,-89,205
172.253.206.125.31.69,44.208.45.106.167.16,1,-68,205
8.212.12.130.83.142,44.208.45.125.172.128,0,-85,205
240.3.140.45.251.130,44.208.45.127.67.64,0,-38,205
40.39.191.157.33.63,44.208.45.127.67.64,0,-89,205
148.233.121.198.198.71,44.208.45.127.103.160,0,-69,205
24.33.149.227.215.219,44.208.45.127.103.160,0,-70,205
120.228.0.57.52.255,44.208.45.127.103.160,0,-92,205
216.252.147.127.63.210,44.208.45.125.172.128,1,-67,206
8.212.12.130.83.142,44.208.45.125.172.128,0,-85,206
172.253.206.125.31.69,44.208.45.106.167.16,1,-67,206
240.3.140.45.251.130,44.208.45.127.67.64,0,-37,206
176.197.89.188.18.183,44.208.45.127.67.64,0,-89,206
24.33.149.227.215.219,44.208.45.127.103.160,0,-68,206
40.39.191.157.33.63,44.208.45.127.67.64,0,-90,206
148.233.121.198.198.71,44.208.45.127.103.160,0,-90,206
120.228.0.57.52.255,44.208.45.127.103.160,0,-92,206
148.233.121.198.198.71,44.208.45.127.103.160,0,-89,207
176.197.89.188.18.183,44.208.45.127.67.64,0,-89,207
40.39.191.157.33.63,44.208.45.127.67.64,0,-90,207
120.228.0.57.52.255,44.208.45.127.103.160,0,-92,207
8.212.12.130.83.142,44.208.45.125.172.128,0,-88,207
240.3.140.45.251.130,44.208.45.127.67.64,0,-37,207
172.253.206.125.31.69,44.208.45.106.167.16,1,-68,207
216.252.147.127.63.210,44.208.45.125.172.128,1,-67,207
176.197.89.188.18.183,44.208.45.127.67.64,0,-89,208
240.3.140.45.251.130,44.208.45.127.67.64,0,-37,208
8.212.12.130.83.142,44.208.45.125.172.128,0,-87,208
120.228.0.57.52.255,44.208.45.127.103.160,0,-92,208
148.233.121.198.198.71,44.208.45.127.103.160,0,-86,208
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,208
172.253.206.125.31.69,44.208.45.106.167.16,1,-70,208
40.39.191.157.33.63,44.208.45.127.67.64,0,-91,208
216.252.147.127.63.210,44.208.45.125.172.128,1,-67,208
172.253.206.125.31.69,44.208.45.106.167.16,1,-68,209
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,209
240.3.140.45.251.130,44.208.45.127.67.64,0,-37,209
40.39.191.157.33.63,44.208.45.127.67.64,0,-92,209
120.228.0.57.52.255,44.208.45.127.103.160,0,-92,209
176.197.89.188.18.183,44.208.45.127.67.64,0,-89,209
