mac_cliente,mac_ap,banda,rssi,time_step
216.252.147.127.63.210,44.208.45.127.103.160,0,-74,259
164.186.219.182.232.26,44.208.45.127.103.160,0,-65,259
216.252.147.127.63.210,44.208.45.127.103.160,0,-76,260
172.253.206.125.31.69,44.208.45.125.172.128,1,-43,260
164.186.219.182.232.26,44.208.45.127.103.160,0,-65,260
172.253.206.125.31.69,44.208.45.125.172.128,1,-49,261
164.186.219.182.232.26,44.208.45.127.103.160,0,-65,261
216.252.147.127.63.210,44.208.45.127.103.160,0,-77,261
216.252.147.127.63.210,44.208.45.127.103.160,0,-78,262
164.186.219.182.232.26,44.208.45.127.103.160,0,-65,262
172.253.206.125.31.69,44.208.45.125.172.128,1,-51,262
164.186.219.182.232.26,44.208.45.127.103.160,0,-65,263
172.253.206.125.31.69,44.208.45.125.172.128,1,-53,263
216.252.147.127.63.210,44.208.45.127.103.160,0,-79,263
164.186.219.182.232.26,44.208.45.127.103.160,0,-65,264
172.253.206.125.31.69,44.208.45.125.172.128,1,-51,264
216.252.147.127.63.210,44.208.45.127.103.160,0,-79,264
216.252.147.127.63.210,44.208.45.127.103.160,0,-79,265
164.186.219.182.232.26,44.208.45.127.103.160,0,-65,265
172.253.206.125.31.69,44.208.45.125.172.128,1,-49,265
216.252.147.127.63.210,44.208.45.127.103.160,0,-79,266
164.186.219.182.232.26,44.208.45.127.103.160,0,-65,266
172.253.206.125.31.69,44.208.45.125.172.128,1,-49,266
172.253.206.125.31.69,44.208.45.125.172.128,1,-47,267
216.252.147.127.63.210,44.208.45.127.103.160,0,-79,267
164.186.219.182.232.26,44.208.45.127.103.160,0,-65,267
216.252.147.127.63.210,44.208.45.127.103.160,0,-78,268
8.212.12.130.83.142,44.208.45.127.103.160,1,-77,268
172.253.206.125.31.69,44.208.45.125.172.128,1,-43,268
8.212.12.130.83.142,44.208.45.127.103.160,1,-77,269
216.252.147.127.63.210,44.208.45.127.103.160,0,-76,269
