mac_cliente,mac_ap,banda,antena,rssi,date,time
60.187.253.228.163.129,44.208.45.106.167.16,0,0,-90,2018-07-09,11:05
60.187.253.228.163.129,44.208.45.106.167.16,0,1,-96,2018-07-09,11:05
60.187.253.228.163.129,44.208.45.127.67.64,0,0,-99,2018-07-09,11:05
60.187.253.228.163.129,44.208.45.127.67.64,0,1,-96,2018-07-09,11:05
60.187.253.228.163.129,44.208.45.127.103.160,0,0,-69,2018-07-09,11:05
60.187.253.228.163.129,44.208.45.127.103.160,0,1,-77,2018-07-09,11:05
172.253.206.125.31.69,0.66.104.213.240.0,0,0,-97,2018-07-09,11:05
172.253.206.125.31.69,0.66.104.213.240.0,0,1,-98,2018-07-09,11:05
172.253.206.125.31.69,44.208.45.106.167.16,0,0,-55,2018-07-09,11:05
172.253.206.125.31.69,44.208.45.106.167.16,0,1,-52,2018-07-09,11:05
172.253.206.125.31.69,44.208.45.106.167.16,1,0,-71,2018-07-09,11:05
172.253.206.125.31.69,44.208.45.106.167.16,1,1,-66,2018-07-09,11:05
172.253.206.125.31.69,44.208.45.125.172.128,0,0,-43,2018-07-09,11:05
172.253.206.125.31.69,44.208.45.125.172.128,0,1,-46,2018-07-09,11:05
172.253.206.125.31.69,44.208.45.125.172.128,1,0,-47,2018-07-09,11:05
172.253.206.125.31.69,44.208.45.125.172.128,1,1,-43,2018-07-09,11:05
172.253.206.125.31.69,44.208.45.127.67.64,0,0,-92,2018-07-09,11:05
172.253.206.125.31.69,44.208.45.127.67.64,0,1,-94,2018-07-09,11:05
172.253.206.125.31.69,44.208.45.127.103.160,0,0,-87,2018-07-09,11:05
172.253.206.125.31.69,44.208.45.127.103.160,0,1,-91,2018-07-09,11:05
172.253.206.125.31.69,44.208.45.127.103.160,1,0,-64,2018-07-09,11:05
172.253.206.125.31.69,44.208.45.127.103.160,1,1,-68,2018-07-09,11:05
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-82,2018-07-10,11:05
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-84,2018-07-10,11:05
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-89,2018-07-10,11:05
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-99,2018-07-10,11:05
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-68,2018-07-10,11:05
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-63,2018-07-10,11:05
8.212.12.130.83.142,0.66.104.213.240.0,0,0,-63,2018-07-10,11:05
8.212.12.130.83.142,0.66.104.213.240.0,0,1,-60,2018-07-10,11:05
8.212.12.130.83.142,0.66.104.213.240.0,1,0,-74,2018-07-10,11:05
8.212.12.130.83.142,0.66.104.213.240.0,1,1,-71,2018-07-10,11:05
8.212.12.130.83.142,44.208.45.106.167.16,0,0,-87,2018-07-10,11:05
8.212.12.130.83.142,44.208.45.106.167.16,0,1,-95,2018-07-10,11:05
8.212.12.130.83.142,44.208.45.125.172.128,0,0,-85,2018-07-10,11:05
8.212.12.130.83.142,44.208.45.125.172.128,0,1,-85,2018-07-10,11:05
8.212.12.130.83.142,44.208.45.127.67.64,0,0,-33,2018-07-10,11:05
8.212.12.130.83.142,44.208.45.127.67.64,0,1,-33,2018-07-10,11:05
8.212.12.130.83.142,44.208.45.127.67.64,1,0,-53,2018-07-10,11:05
8.212.12.130.83.142,44.208.45.127.67.64,1,1,-63,2018-07-10,11:05
8.212.12.130.83.142,44.208.45.127.103.160,0,0,-93,2018-07-10,11:05
8.212.12.130.83.142,44.208.45.127.103.160,0,1,-98,2018-07-10,11:05
24.103.176.145.17.169,0.66.104.213.240.0,0,0,-92,2018-07-10,11:05
24.103.176.145.17.169,0.66.104.213.240.0,0,1,-95,2018-07-10,11:05
24.103.176.145.17.169,44.208.45.106.167.16,0,0,-78,2018-07-10,11:05
24.103.176.145.17.169,44.208.45.106.167.16,0,1,-85,2018-07-10,11:05
24.103.176.145.17.169,44.208.45.125.172.128,0,0,-55,2018-07-10,11:05
24.103.176.145.17.169,44.208.45.125.172.128,0,1,-59,2018-07-10,11:05
24.103.176.145.17.169,44.208.45.127.67.64,0,0,-97,2018-07-10,11:05
24.103.176.145.17.169,44.208.45.127.67.64,0,1,-94,2018-07-10,11:05
24.103.176.145.17.169,44.208.45.127.103.160,0,0,-66,2018-07-10,11:05
