mac_cliente,mac_ap,banda,antena,rssi,date,time,client_index,block_index
0.111.100.54.40.58,44.208.45.106.167.16,0,0,-82,2018-10-25,11:05,1,1
0.111.100.54.40.58,44.208.45.106.167.16,0,1,-83,2018-10-25,11:05,1,1
0.111.100.54.40.58,44.208.45.125.172.128,0,0,-72,2018-10-25,11:05,1,1
0.111.100.54.40.58,44.208.45.125.172.128,0,1,-86,2018-10-25,11:05,1,1
0.111.100.54.40.58,44.208.45.127.67.64,0,0,-99,2018-10-25,11:05,1,1
0.111.100.54.40.58,44.208.45.127.67.64,0,1,-94,2018-10-25,11:05,1,1
0.111.100.54.40.58,44.208.45.127.103.160,0,0,-69,2018-10-25,11:05,1,1
0.111.100.54.40.58,44.208.45.127.103.160,0,1,-70,2018-10-25,11:05,1,1
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-70,2018-10-29,11:05,2,1
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-63,2018-10-29,11:05,2,1
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-90,2018-10-29,15:05,2,2
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-95,2018-10-29,15:05,2,2
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-70,2018-10-29,15:05,2,2
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-63,2018-10-29,15:05,2,2
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-88,2018-10-30,11:05,2,3
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-87,2018-10-30,11:05,2,3
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-94,2018-10-30,11:05,2,3
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-90,2018-10-30,11:05,2,3
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-61,2018-10-30,11:05,2,3
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-60,2018-10-30,11:05,2,3
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-86,2018-10-31,11:05,2,4
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-84,2018-10-31,11:05,2,4
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-92,2018-10-31,11:05,2,4
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-95,2018-10-31,11:05,2,4
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-58,2018-10-31,11:05,2,4
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-62,2018-10-31,11:05,2,4
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-81,2018-10-31,15:05,2,5
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-97,2018-10-31,15:05,2,5
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-96,2018-10-31,15:05,2,5
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-96,2018-10-31,15:05,2,5
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-66,2018-10-31,15:05,2,5
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-67,2018-10-31,15:05,2,5
0.22.235.183.117.65,0.66.104.213.240.0,0,0,-97,2018-10-04,15:05,3,1
