mac_cliente,mac_ap,banda,antena,rssi,date,time,client_index,block_index
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-81,2018-05-08,11:05,1,1
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-91,2018-05-08,11:05,1,1
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-96,2018-05-08,11:05,1,1
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-97,2018-05-08,11:05,1,1
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-77,2018-05-08,11:05,1,1
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-69,2018-05-08,11:05,1,1
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-92,2018-05-08,15:05,1,2
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-95,2018-05-08,15:05,1,2
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-98,2018-05-08,15:05,1,2
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-96,2018-05-08,15:05,1,2
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-68,2018-05-08,15:05,1,2
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-72,2018-05-08,15:05,1,2
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-83,2018-05-14,11:05,1,3
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-87,2018-05-14,11:05,1,3
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-71,2018-05-14,11:05,1,3
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-71,2018-05-14,11:05,1,3
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-83,2018-05-14,15:05,1,4
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-85,2018-05-14,15:05,1,4
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-79,2018-05-14,15:05,1,4
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-76,2018-05-14,15:05,1,4
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-84,2018-05-16,11:05,1,5
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-88,2018-05-16,11:05,1,5
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-97,2018-05-16,11:05,1,5
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-94,2018-05-16,11:05,1,5
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-71,2018-05-16,11:05,1,5
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-70,2018-05-16,11:05,1,5
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-83,2018-05-16,15:05,1,6
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-86,2018-05-16,15:05,1,6
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-97,2018-05-16,15:05,1,6
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-94,2018-05-16,15:05,1,6
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-77,2018-05-16,15:05,1,6
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-82,2018-05-16,15:05,1,6
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-85,2018-05-24,11:05,1,7
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-75,2018-05-24,11:05,1,7
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-85,2018-05-24,15:05,1,8
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-89,2018-05-24,15:05,1,8
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-70,2018-05-24,15:05,1,8
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-65,2018-05-24,15:05,1,8
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-82,2018-05-25,11:05,1,9
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-77,2018-05-25,11:05,1,9
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-72,2018-05-25,11:05,1,9
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-75,2018-05-25,11:05,1,9
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-83,2018-05-29,15:05,1,10
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-83,2018-05-29,15:05,1,10
0.22.235.183.118.194,44.208.45.106.167.16,0,0,-69,2018-05-03,15:05,2,1
0.22.235.183.118.194,44.208.45.106.167.16,0,1,-58,2018-05-03,15:05,2,1
0.22.235.183.118.194,44.208.45.106.167.16,1,0,-68,2018-05-03,15:05,2,1
0.22.235.183.118.194,44.208.45.106.167.16,1,1,-79,2018-05-03,15:05,2,1
0.22.235.183.118.194,44.208.45.125.172.128,0,0,-60,2018-05-03,15:05,2,1
0.22.235.183.118.194,44.208.45.125.172.128,0,1,-59,2018-05-03,15:05,2,1
0.22.235.183.118.194,44.208.45.125.172.128,1,0,-69,2018-05-03,15:05,2,1
0.22.235.183.118.194,44.208.45.125.172.128,1,1,-79,2018-05-03,15:05,2,1
0.22.235.183.118.194,44.208.45.127.67.64,0,0,-81,2018-05-03,15:05,2,1
0.22.235.183.118.194,44.208.45.127.67.64,0,1,-79,2018-05-03,15:05,2,1
0.22.235.183.118.194,0.66.104.213.240.0,0,0,-99,2018-05-04,11:05,2,2
0.22.235.183.118.194,0.66.104.213.240.0,0,1,-99,2018-05-04,11:05,2,2
0.22.235.183.118.194,44.208.45.106.167.16,0,0,-64,2018-05-04,11:05,2,2
0.22.235.183.118.194,44.208.45.106.167.16,0,1,-66,2018-05-04,11:05,2,2
0.22.235.183.118.194,44.208.45.106.167.16,1,0,-70,2018-05-04,11:05,2,2
0.22.235.183.118.194,44.208.45.106.167.16,1,1,-83,2018-05-04,11:05,2,2
0.22.235.183.118.194,44.208.45.125.172.128,0,0,-49,2018-05-04,11:05,2,2
0.22.235.183.118.194,44.208.45.125.172.128,0,1,-54,2018-05-04,11:05,2,2
0.22.235.183.118.194,44.208.45.125.172.128,1,0,-64,2018-05-04,11:05,2,2
0.22.235.183.118.194,44.208.45.125.172.128,1,1,-62,2018-05-04,11:05,2,2
