mac_cliente,mac_ap,banda,antena,rssi,date,time,client_index,block_index
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-85,2018-06-01,11:05,1,1
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-89,2018-06-01,11:05,1,1
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-67,2018-06-01,11:05,1,1
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-73,2018-06-01,11:05,1,1
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-85,2018-06-05,11:05,1,2
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-91,2018-06-05,11:05,1,2
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-68,2018-06-05,11:05,1,2
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-74,2018-06-05,11:05,1,2
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-81,2018-06-06,11:05,1,3
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-85,2018-06-06,11:05,1,3
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-81,2018-06-14,11:05,1,4
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-87,2018-06-14,11:05,1,4
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-82,2018-06-15,11:05,1,5
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-78,2018-06-15,11:05,1,5
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-97,2018-06-15,11:05,1,5
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-95,2018-06-15,11:05,1,5
0.135.1.143.215.55,44.208.45.127.67.64,0,0,-81,2018-06-15,11:05,1,5
0.135.1.143.215.55,44.208.45.127.67.64,0,1,-83,2018-06-15,11:05,1,5
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-81,2018-06-15,11:05,1,5
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-86,2018-06-15,11:05,1,5
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-83,2018-06-18,11:05,1,6
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-91,2018-06-18,11:05,1,6
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-97,2018-06-18,11:05,1,6
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-95,2018-06-18,11:05,1,6
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-69,2018-06-18,11:05,1,6
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-72,2018-06-18,11:05,1,6
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-91,2018-06-21,11:05,1,7
