mac_cliente,mac_ap,banda,antena,rssi,date,time
8.212.12.130.83.142,0.66.104.213.240.0,0,0,-60,2018-03-01,11:05
8.212.12.130.83.142,0.66.104.213.240.0,0,1,-61,2018-03-01,11:05
8.212.12.130.83.142,0.66.104.213.240.0,1,0,-80,2018-03-01,11:05
8.212.12.130.83.142,0.66.104.213.240.0,1,1,-83,2018-03-01,11:05
8.212.12.130.83.142,44.208.45.106.167.16,0,0,-93,2018-03-01,11:05
8.212.12.130.83.142,44.208.45.106.167.16,0,1,-90,2018-03-01,11:05
8.212.12.130.83.142,44.208.45.125.172.128,0,0,-90,2018-03-01,11:05
8.212.12.130.83.142,44.208.45.125.172.128,0,1,-94,2018-03-01,11:05
24.33.149.227.215.219,0.66.104.213.240.0,0,0,-95,2018-03-01,11:05
24.33.149.227.215.219,0.66.104.213.240.0,0,1,-96,2018-03-01,11:05
24.33.149.227.215.219,44.208.45.106.167.16,0,0,-90,2018-03-01,11:05
24.33.149.227.215.219,44.208.45.106.167.16,0,1,-93,2018-03-01,11:05
24.33.149.227.215.219,44.208.45.125.172.128,0,0,-93,2018-03-01,11:05
24.33.149.227.215.219,44.208.45.125.172.128,0,1,-98,2018-03-01,11:05
24.33.149.227.215.219,44.208.45.127.67.64,0,0,-98,2018-03-01,11:05
24.33.149.227.215.219,44.208.45.127.67.64,0,1,-99,2018-03-01,11:05
24.33.149.227.215.219,44.208.45.127.103.160,0,0,-75,2018-03-01,11:05
24.33.149.227.215.219,44.208.45.127.103.160,0,1,-76,2018-03-01,11:05
172.253.206.125.31.69,0.66.104.213.240.0,0,0,-96,2018-03-01,11:05
172.253.206.125.31.69,0.66.104.213.240.0,0,1,-98,2018-03-01,11:05
172.253.206.125.31.69,44.208.45.106.167.16,0,0,-53,2018-03-01,11:05
172.253.206.125.31.69,44.208.45.106.167.16,0,1,-47,2018-03-01,11:05
172.253.206.125.31.69,44.208.45.106.167.16,1,0,-76,2018-03-01,11:05
172.253.206.125.31.69,44.208.45.106.167.16,1,1,-79,2018-03-01,11:05
172.253.206.125.31.69,44.208.45.125.172.128,0,0,-36,2018-03-01,11:05
172.253.206.125.31.69,44.208.45.125.172.128,0,1,-49,2018-03-01,11:05
172.253.206.125.31.69,44.208.45.125.172.128,1,0,-50,2018-03-01,11:05
172.253.206.125.31.69,44.208.45.125.172.128,1,1,-60,2018-03-01,11:05
172.253.206.125.31.69,44.208.45.127.103.160,0,0,-81,2018-03-01,11:05
172.253.206.125.31.69,44.208.45.127.103.160,0,1,-82,2018-03-01,11:05
8.212.12.130.83.142,0.66.104.213.240.0,0,0,-63,2018-03-02,11:05
8.212.12.130.83.142,0.66.104.213.240.0,0,1,-63,2018-03-02,11:05
8.212.12.130.83.142,0.66.104.213.240.0,1,0,-88,2018-03-02,11:05
8.212.12.130.83.142,0.66.104.213.240.0,1,1,-90,2018-03-02,11:05
8.212.12.130.83.142,44.208.45.106.167.16,0,0,-89,2018-03-02,11:05
8.212.12.130.83.142,44.208.45.106.167.16,0,1,-90,2018-03-02,11:05
8.212.12.130.83.142,44.208.45.125.172.128,0,0,-90,2018-03-02,11:05
8.212.12.130.83.142,44.208.45.125.172.128,0,1,-91,2018-03-02,11:05
8.212.12.130.83.142,44.208.45.127.67.64,0,0,-53,2018-03-02,11:05
