mac_cliente,mac_ap,banda,antena,rssi,date,time
104.83.88.164.135.197,0.66.104.213.240.0,0,0,-51,2018-08-01,19:05
104.83.88.164.135.197,0.66.104.213.240.0,0,1,-62,2018-08-01,19:05
104.83.88.164.135.197,44.208.45.125.172.128,0,0,-96,2018-08-01,19:05
104.83.88.164.135.197,44.208.45.125.172.128,0,1,-95,2018-08-01,19:05
104.83.88.164.135.197,44.208.45.127.67.64,0,0,-75,2018-08-01,19:05
104.83.88.164.135.197,44.208.45.127.67.64,0,1,-71,2018-08-01,19:05
104.83.88.164.135.195,0.66.104.213.240.0,0,0,-45,2018-08-02,11:05
104.83.88.164.135.195,0.66.104.213.240.0,0,1,-39,2018-08-02,11:05
104.83.88.164.135.195,0.66.104.213.240.0,1,0,-65,2018-08-02,11:05
104.83.88.164.135.195,0.66.104.213.240.0,1,1,-57,2018-08-02,11:05
104.83.88.164.135.195,44.208.45.106.167.16,0,0,-93,2018-08-02,11:05
104.83.88.164.135.195,44.208.45.106.167.16,0,1,-96,2018-08-02,11:05
104.83.88.164.135.195,44.208.45.125.172.128,0,0,-94,2018-08-02,11:05
104.83.88.164.135.195,44.208.45.125.172.128,0,1,-95,2018-08-02,11:05
104.83.88.164.135.195,44.208.45.127.67.64,0,0,-63,2018-08-02,11:05
104.83.88.164.135.195,44.208.45.127.67.64,0,1,-71,2018-08-02,11:05
104.83.88.164.135.195,44.208.45.127.67.64,1,0,-93,2018-08-02,11:05
104.83.88.164.135.195,44.208.45.127.67.64,1,1,-91,2018-08-02,11:05
104.83.88.164.135.195,44.208.45.127.103.160,0,0,-98,2018-08-02,11:05
104.83.88.164.135.195,44.208.45.127.103.160,0,1,-96,2018-08-02,11:05
104.83.88.164.135.196,0.66.104.213.240.0,0,0,-48,2018-08-02,11:05
104.83.88.164.135.196,0.66.104.213.240.0,0,1,-46,2018-08-02,11:05
104.83.88.164.135.196,0.66.104.213.240.0,1,0,-67,2018-08-02,11:05
104.83.88.164.135.196,0.66.104.213.240.0,1,1,-58,2018-08-02,11:05
104.83.88.164.135.196,44.208.45.106.167.16,0,0,-97,2018-08-02,11:05
104.83.88.164.135.196,44.208.45.106.167.16,0,1,-98,2018-08-02,11:05
104.83.88.164.135.196,44.208.45.127.67.64,0,0,-63,2018-08-02,11:05
104.83.88.164.135.196,44.208.45.127.67.64,0,1,-77,2018-08-02,11:05
104.83.88.164.135.196,44.208.45.127.67.64,1,0,-95,2018-08-02,11:05
104.83.88.164.135.196,44.208.45.127.67.64,1,1,-89,2018-08-02,11:05
104.83.88.164.135.196,44.208.45.127.103.160,0,0,-96,2018-08-02,11:05
104.83.88.164.135.196,44.208.45.127.103.160,0,1,-96,2018-08-02,11:05
104.83.88.164.135.197,0.66.104.213.240.0,0,0,-51,2018-08-02,11:05
104.83.88.164.135.197,0.66.104.213.240.0,0,1,-62,2018-08-02,11:05
104.83.88.164.135.197,44.208.45.125.172.128,0,0,-96,2018-08-02,11:05
104.83.88.164.135.197,44.208.45.125.172.128,0,1,-95,2018-08-02,11:05
104.83.88.164.135.197,44.208.45.127.67.64,0,0,-75,2018-08-02,11:05
104.83.88.164.135.197,44.208.45.127.67.64,0,1,-71,2018-08-02,11:05
104.83.88.164.135.198,0.66.104.213.240.0,0,0,-47,2018-08-02,11:05
104.83.88.164.135.198,0.66.104.213.240.0,0,1,-57,2018-08-02,11:05
104.83.88.164.135.198,0.66.104.213.240.0,1,0,-57,2018-08-02,11:05
104.83.88.164.135.198,0.66.104.213.240.0,1,1,-51,2018-08-02,11:05
104.83.88.164.135.198,44.208.45.106.167.16,0,0,-98,2018-08-02,11:05
104.83.88.164.135.198,44.208.45.106.167.16,0,1,-95,2018-08-02,11:05
104.83.88.164.135.198,44.208.45.127.67.64,0,0,-64,2018-08-02,11:05
104.83.88.164.135.198,44.208.45.127.67.64,0,1,-64,2018-08-02,11:05
104.83.88.164.135.198,44.208.45.127.67.64,1,0,-91,2018-08-02,11:05
104.83.88.164.135.198,44.208.45.127.67.64,1,1,-88,2018-08-02,11:05
104.83.88.164.135.200,0.66.104.213.240.0,0,0,-60,2018-08-02,11:05
104.83.88.164.135.200,0.66.104.213.240.0,0,1,-46,2018-08-02,11:05
104.83.88.164.135.200,0.66.104.213.240.0,1,0,-69,2018-08-02,11:05
104.83.88.164.135.200,0.66.104.213.240.0,1,1,-60,2018-08-02,11:05
104.83.88.164.135.200,44.208.45.106.167.16,0,0,-98,2018-08-02,11:05
104.83.88.164.135.200,44.208.45.106.167.16,0,1,-99,2018-08-02,11:05
104.83.88.164.135.200,44.208.45.125.172.128,0,0,-97,2018-08-02,11:05
104.83.88.164.135.200,44.208.45.125.172.128,0,1,-94,2018-08-02,11:05
104.83.88.164.135.200,44.208.45.127.67.64,0,0,-66,2018-08-02,11:05
104.83.88.164.135.200,44.208.45.127.67.64,0,1,-64,2018-08-02,11:05
104.83.88.164.135.200,44.208.45.127.67.64,1,0,-84,2018-08-02,11:05
104.83.88.164.135.200,44.208.45.127.67.64,1,1,-85,2018-08-02,11:05
104.83.88.164.135.200,44.208.45.127.103.160,0,0,-99,2018-08-02,11:05
104.83.88.164.135.200,44.208.45.127.103.160,0,1,-98,2018-08-02,11:05
104.83.88.164.135.201,0.66.104.213.240.0,0,0,-66,2018-08-02,11:05
104.83.88.164.135.201,0.66.104.213.240.0,0,1,-65,2018-08-02,11:05
104.83.88.164.135.201,0.66.104.213.240.0,1,0,-60,2018-08-02,11:05
104.83.88.164.135.201,0.66.104.213.240.0,1,1,-63,2018-08-02,11:05
104.83.88.164.135.201,44.208.45.106.167.16,0,0,-98,2018-08-02,11:05
104.83.88.164.135.201,44.208.45.106.167.16,0,1,-97,2018-08-02,11:05
104.83.88.164.135.201,44.208.45.127.67.64,0,0,-77,2018-08-02,11:05
104.83.88.164.135.201,44.208.45.127.67.64,0,1,-77,2018-08-02,11:05
104.83.88.164.135.201,44.208.45.127.67.64,1,0,-88,2018-08-02,11:05
104.83.88.164.135.201,44.208.45.127.67.64,1,1,-89,2018-08-02,11:05
104.83.88.164.135.203,0.66.104.213.240.0,0,0,-46,2018-08-02,11:05
104.83.88.164.135.203,0.66.104.213.240.0,0,1,-47,2018-08-02,11:05
104.83.88.164.135.203,0.66.104.213.240.0,1,0,-55,2018-08-02,11:05
104.83.88.164.135.203,0.66.104.213.240.0,1,1,-67,2018-08-02,11:05
104.83.88.164.135.203,44.208.45.106.167.16,0,0,-98,2018-08-02,11:05
