mac_cliente,mac_ap,banda,antena,rssi,date,time,client_index,block_index
0.135.1.143.215.55,0.66.104.213.240.0,0,0,-99,2018-11-01,11:05,1,1
0.135.1.143.215.55,0.66.104.213.240.0,0,1,-97,2018-11-01,11:05,1,1
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-97,2018-11-01,11:05,1,1
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-98,2018-11-01,11:05,1,1
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-94,2018-11-01,11:05,1,1
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-95,2018-11-01,11:05,1,1
0.135.1.143.215.55,44.208.45.127.67.64,0,0,-97,2018-11-01,11:05,1,1
0.135.1.143.215.55,44.208.45.127.67.64,0,1,-96,2018-11-01,11:05,1,1
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-82,2018-11-01,11:05,1,1
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-80,2018-11-01,11:05,1,1
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-92,2018-11-06,11:05,1,2
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-88,2018-11-06,11:05,1,2
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-99,2018-11-06,11:05,1,2
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-93,2018-11-06,11:05,1,2
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-71,2018-11-06,11:05,1,2
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-66,2018-11-06,11:05,1,2
0.135.1.143.215.55,0.66.104.213.240.0,0,0,-91,2018-11-15,11:05,1,3
0.135.1.143.215.55,0.66.104.213.240.0,0,1,-91,2018-11-15,11:05,1,3
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-84,2018-11-15,11:05,1,3
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-77,2018-11-15,11:05,1,3
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-96,2018-11-15,11:05,1,3
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-92,2018-11-15,11:05,1,3
0.135.1.143.215.55,44.208.45.127.67.64,0,0,-94,2018-11-15,11:05,1,3
0.135.1.143.215.55,44.208.45.127.67.64,0,1,-89,2018-11-15,11:05,1,3
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-77,2018-11-15,11:05,1,3
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-79,2018-11-15,11:05,1,3
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-86,2018-11-21,11:05,1,4
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-99,2018-11-21,11:05,1,4
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-56,2018-11-21,11:05,1,4
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-61,2018-11-21,11:05,1,4
0.135.1.143.215.55,0.66.104.213.240.0,0,0,-98,2018-11-22,11:05,1,5
0.135.1.143.215.55,0.66.104.213.240.0,0,1,-99,2018-11-22,11:05,1,5
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-87,2018-11-22,11:05,1,5
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-91,2018-11-22,11:05,1,5
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-96,2018-11-22,11:05,1,5
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-96,2018-11-22,11:05,1,5
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-71,2018-11-22,11:05,1,5
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-67,2018-11-22,11:05,1,5
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-90,2018-11-27,11:05,1,6
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-96,2018-11-27,11:05,1,6
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-95,2018-11-27,11:05,1,6
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-94,2018-11-27,11:05,1,6
0.135.1.143.215.55,44.208.45.127.67.64,0,0,-97,2018-11-27,11:05,1,6
0.135.1.143.215.55,44.208.45.127.67.64,0,1,-92,2018-11-27,11:05,1,6
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-64,2018-11-27,11:05,1,6
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-76,2018-11-27,11:05,1,6
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-86,2018-11-29,11:05,1,7
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-88,2018-11-29,11:05,1,7
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-83,2018-11-29,11:05,1,7
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-84,2018-11-29,11:05,1,7
0.135.1.143.215.55,44.208.45.127.67.64,0,0,-93,2018-11-29,11:05,1,7
0.135.1.143.215.55,44.208.45.127.67.64,0,1,-94,2018-11-29,11:05,1,7
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-66,2018-11-29,11:05,1,7
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-69,2018-11-29,11:05,1,7
0.135.1.143.215.55,0.66.104.213.240.0,0,0,-99,2018-11-01,15:05,1,8
0.135.1.143.215.55,0.66.104.213.240.0,0,1,-97,2018-11-01,15:05,1,8
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-83,2018-11-01,15:05,1,8
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-92,2018-11-01,15:05,1,8
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-96,2018-11-01,15:05,1,8
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-92,2018-11-01,15:05,1,8
0.135.1.143.215.55,44.208.45.127.67.64,0,0,-97,2018-11-01,15:05,1,8
0.135.1.143.215.55,44.208.45.127.67.64,0,1,-96,2018-11-01,15:05,1,8
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-60,2018-11-01,15:05,1,8
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-65,2018-11-01,15:05,1,8
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-85,2018-11-06,15:05,1,9
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-89,2018-11-06,15:05,1,9
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-93,2018-11-06,15:05,1,9
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-97,2018-11-06,15:05,1,9
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-60,2018-11-06,15:05,1,9
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-65,2018-11-06,15:05,1,9
0.135.1.143.215.55,0.66.104.213.240.0,0,0,-91,2018-11-15,15:05,1,10
0.135.1.143.215.55,0.66.104.213.240.0,0,1,-91,2018-11-15,15:05,1,10
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-89,2018-11-15,15:05,1,10
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-91,2018-11-15,15:05,1,10
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-96,2018-11-15,15:05,1,10
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-92,2018-11-15,15:05,1,10
0.135.1.143.215.55,44.208.45.127.67.64,0,0,-94,2018-11-15,15:05,1,10
0.135.1.143.215.55,44.208.45.127.67.64,0,1,-89,2018-11-15,15:05,1,10
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-69,2018-11-15,15:05,1,10
