mac_cliente,mac_ap,banda,antena,rssi
0.18.54.96.230.175,40.111.127.12.19.80,0,0,-90
0.18.54.96.230.175,40.111.127.12.19.80,0,1,-90
0.18.54.96.230.175,40.111.127.12.20.176,0,0,-91
0.18.54.96.230.175,40.111.127.12.20.176,0,1,-94
0.18.54.96.230.175,40.111.127.12.20.240,0,0,-87
0.18.54.96.230.175,40.111.127.12.20.240,0,1,-87
0.18.54.96.230.175,40.111.127.201.212.128,0,0,-96
0.18.54.96.230.175,40.111.127.201.212.128,0,1,-95
0.18.54.96.230.175,40.111.127.201.215.48,0,0,-93
0.18.54.96.230.175,40.111.127.201.215.48,0,1,-95
0.18.54.96.230.175,40.111.127.201.217.160,0,0,-65
0.18.54.96.230.175,40.111.127.201.217.160,0,1,-68
0.18.54.96.230.175,40.111.127.223.82.112,0,0,-61
0.18.54.96.230.175,40.111.127.223.82.112,0,1,-59
0.18.54.96.230.175,40.111.127.223.85.240,0,0,-76
0.18.54.96.230.175,40.111.127.223.85.240,0,1,-70
0.18.54.96.230.175,44.208.45.127.104.176,0,0,-93
0.18.54.96.230.175,44.208.45.127.104.176,0,1,-96
0.18.54.96.230.175,44.208.45.132.34.128,0,0,-81
0.18.54.96.230.175,44.208.45.132.34.128,0,1,-80
0.18.54.96.230.175,44.208.45.132.63.32,0,0,-83
0.18.54.96.230.175,44.208.45.132.63.32,0,1,-87
0.18.54.96.230.175,44.208.45.132.63.144,0,0,-90
0.18.54.96.230.175,44.208.45.132.63.144,0,1,-85
0.18.54.96.230.175,44.208.45.132.63.208,0,0,-82
0.18.54.96.230.175,44.208.45.132.63.208,0,1,-84
0.18.54.96.230.175,44.208.45.141.242.192,0,0,-87
0.18.54.96.230.175,44.208.45.141.242.192,0,1,-84
0.18.54.96.230.175,44.208.45.141.255.96,0,0,-92
0.18.54.96.230.175,44.208.45.141.255.96,0,1,-88
0.18.54.96.230.175,160.224.175.216.51.128,0,0,-44
0.18.54.96.230.175,160.224.175.216.51.128,0,1,-47
0.33.69.134.254.161,40.111.127.12.20.240,0,0,-86
0.33.69.134.254.161,40.111.127.12.20.240,0,1,-78
0.33.69.134.254.161,40.111.127.201.216.80,0,0,-94
