mac_cliente,mac_ap,banda,antena,rssi
0.12.231.132.151.92,24.139.157.125.121.192,0,0,-85
0.12.231.132.151.92,24.139.157.125.121.192,0,1,-86
0.12.231.132.151.92,24.139.157.125.121.192,0,0,-82
0.12.231.132.151.92,24.139.157.125.121.192,0,1,-86
0.12.231.132.151.92,24.139.157.125.121.192,0,0,-85
0.12.231.132.151.92,24.139.157.125.121.192,0,1,-86
0.12.231.132.151.92,24.139.157.125.121.192,0,0,-82
0.12.231.132.151.92,24.139.157.125.121.192,0,1,-86
0.12.231.132.151.92,24.139.157.54.52.192,0,0,-99
0.12.231.132.151.92,24.139.157.54.52.192,0,1,-97
0.12.231.132.151.92,24.139.157.54.52.192,0,0,-84
0.12.231.132.151.92,24.139.157.54.52.192,0,1,-83
0.12.231.132.151.92,24.139.157.54.52.192,0,0,-99
0.12.231.132.151.92,24.139.157.54.52.192,0,1,-97
0.12.231.132.151.92,24.139.157.54.52.192,0,0,-84
0.12.231.132.151.92,24.139.157.54.52.192,0,1,-83
0.12.231.132.151.92,24.139.157.98.84.112,0,0,-98
0.12.231.132.151.92,24.139.157.98.84.112,0,1,-96
0.12.231.132.151.92,24.139.157.98.84.112,0,0,-98
0.12.231.132.151.92,24.139.157.98.84.112,0,1,-96
0.12.231.132.151.92,28.106.122.181.189.112,0,0,-91
0.12.231.132.151.92,28.106.122.181.189.112,0,1,-92
0.12.231.132.151.92,28.106.122.181.189.112,0,0,-91
0.12.231.132.151.92,28.106.122.181.189.112,0,1,-92
0.12.231.132.151.92,28.106.122.233.108.176,0,0,-92
0.12.231.132.151.92,28.106.122.233.108.176,0,1,-96
0.12.231.132.151.92,28.106.122.233.108.176,0,0,-80
0.12.231.132.151.92,28.106.122.233.108.176,0,1,-83
0.12.231.132.151.92,28.106.122.233.108.176,0,0,-92
0.12.231.132.151.92,28.106.122.233.108.176,0,1,-96
0.12.231.132.151.92,28.106.122.233.108.176,0,0,-80
0.12.231.132.151.92,28.106.122.233.108.176,0,1,-83
0.12.231.132.151.92,28.106.122.233.94.224,0,0,-78
0.12.231.132.151.92,28.106.122.233.94.224,0,1,-84
0.12.231.132.151.92,28.106.122.233.94.224,0,0,-78
0.12.231.132.151.92,28.106.122.233.94.224,0,1,-84
0.12.231.132.151.92,28.106.122.235.175.0,0,0,-53
0.12.231.132.151.92,28.106.122.235.175.0,0,1,-40
0.12.231.132.151.92,28.106.122.235.175.0,0,0,-58
0.12.231.132.151.92,28.106.122.235.175.0,0,1,-65
0.12.231.132.151.92,28.106.122.235.175.0,0,0,-53
0.12.231.132.151.92,28.106.122.235.175.0,0,1,-40
0.12.231.132.151.92,28.106.122.235.175.0,0,0,-58
0.12.231.132.151.92,28.106.122.235.175.0,0,1,-65
0.12.231.145.42.105,24.139.157.125.121.192,0,0,-85
0.12.231.145.42.105,24.139.157.125.121.192,0,1,-89
0.12.231.145.42.105,24.139.157.125.121.192,0,0,-70
0.12.231.145.42.105,24.139.157.125.121.192,0,1,-73
0.12.231.145.42.105,24.139.157.125.121.192,0,0,-75
