mac_cliente,mac_ap,banda,antena,rssi
0.12.231.135.5.62,160.224.175.216.50.48,0,0,-84
0.12.231.135.5.62,160.224.175.216.50.48,0,1,-86
0.12.231.135.5.62,160.224.175.216.50.48,0,0,-84
0.12.231.135.5.62,160.224.175.216.50.48,0,1,-86
0.12.231.135.5.62,40.111.127.12.4.112,0,0,-89
0.12.231.135.5.62,40.111.127.12.4.112,0,1,-93
0.12.231.135.5.62,40.111.127.12.4.112,0,0,-89
0.12.231.135.5.62,40.111.127.12.4.112,0,1,-93
0.12.231.135.5.62,40.111.127.148.35.224,0,0,-98
0.12.231.135.5.62,40.111.127.148.35.224,0,1,-99
0.12.231.135.5.62,40.111.127.148.35.224,0,0,-98
0.12.231.135.5.62,40.111.127.148.35.224,0,1,-99
0.12.231.135.5.62,40.111.127.148.39.80,0,0,-70
0.12.231.135.5.62,40.111.127.148.39.80,0,1,-67
0.12.231.135.5.62,40.111.127.148.39.80,0,0,-70
0.12.231.135.5.62,40.111.127.148.39.80,0,1,-67
0.12.231.135.5.62,40.111.127.148.39.96,0,0,-97
0.12.231.135.5.62,40.111.127.148.39.96,0,1,-98
0.12.231.135.5.62,40.111.127.148.39.96,0,0,-97
0.12.231.135.5.62,40.111.127.148.39.96,0,1,-98
0.12.231.135.5.62,40.111.127.198.163.112,0,0,-88
0.12.231.135.5.62,40.111.127.198.163.112,0,1,-89
0.12.231.135.5.62,40.111.127.198.163.112,0,0,-88
0.12.231.135.5.62,40.111.127.198.163.112,0,1,-89
0.12.231.135.5.62,40.111.127.198.166.240,0,0,-92
0.12.231.135.5.62,40.111.127.198.166.240,0,1,-93
0.12.231.135.5.62,40.111.127.198.166.240,0,0,-92
0.12.231.135.5.62,40.111.127.198.166.240,0,1,-93
0.12.231.135.5.62,40.111.127.201.200.160,0,0,-93
0.12.231.135.5.62,40.111.127.201.200.160,0,1,-96
0.12.231.135.5.62,40.111.127.201.200.160,0,0,-93
0.12.231.135.5.62,40.111.127.201.200.160,0,1,-96
0.12.231.135.5.62,40.111.127.201.210.64,0,0,-87
0.12.231.135.5.62,40.111.127.201.210.64,0,1,-78
0.12.231.135.5.62,40.111.127.201.210.64,0,0,-87
