mac_cliente,frecuencia
8.212.12.130.83.142,24
176.197.89.188.18.183,23
172.253.206.125.31.69,18
216.252.147.127.63.210,14
104.83.88.164.135.194,9
104.83.88.164.135.203,8
104.83.88.164.143.196,8
0.135.1.143.215.55,7
104.83.88.164.143.123,6
160.136.105.218.21.36,6
160.211.122.244.44.52,5
160.136.105.217.238.170,4
0.22.235.183.118.194,4
104.83.88.164.143.117,4
240.3.140.45.251.130,4
104.83.88.164.143.124,3
184.8.207.139.180.86,3
76.102.65.110.217.162,3
180.213.189.242.128.35,3
184.8.207.139.103.43,3
160.211.122.242.202.176,3
184.8.207.139.175.96,3
160.136.105.218.33.229,3
104.83.88.164.143.120,3
160.136.105.218.32.35,3
208.49.105.108.196.213,3
160.136.105.216.117.137,3
124.28.104.47.150.217,3
108.113.217.128.243.88,3
20.107.114.92.117.131,2
184.8.207.139.24.247,2
164.186.219.184.99.51,2
160.211.122.242.222.191,2
160.211.122.242.210.83,2
160.211.122.242.205.173,2
160.211.122.242.196.197,2
160.136.105.218.36.181,2
0.22.235.183.132.90,2
164.186.219.184.99.53,2
168.161.152.222.37.254,1
4.230.118.85.125.24,1
32.209.96.201.248.80,1
36.219.237.168.175.43,1
8.212.12.107.4.44,1
4.241.40.36.163.44,1
60.187.253.228.163.129,1
0.236.10.121.72.124,1
24.227.188.12.252.236,1
0.52.218.56.229.27,1
224.118.208.88.66.192,1
24.103.176.145.17.169,1
232.147.9.191.147.180,1
232.147.9.152.161.227,1
220.68.182.170.213.57,1
220.207.150.179.167.124,1
0.8.34.178.232.251,1
208.49.105.215.67.68,1
100.119.145.223.7.172,1
104.83.88.164.135.198,1
128.53.193.81.177.94,1
80.143.76.219.45.163,1
