mac_cliente,frecuencia
8.212.12.130.83.142,23
172.253.206.125.31.69,18
148.233.121.198.198.71,15
24.33.149.227.215.219,14
216.252.147.127.63.210,11
176.197.89.188.18.183,10
40.39.191.157.33.63,5
240.3.140.45.251.130,5
120.228.0.57.52.255,3
164.186.219.184.99.55,2
164.186.219.182.232.26,2
128.155.32.162.213.16,2
0.22.235.183.186.106,1
164.186.219.182.233.34,1
148.177.10.192.24.194,1
236.16.123.200.116.209,1
124.28.104.158.187.14,1
36.230.29.53.75.133,1
0.8.34.232.208.251,1
0.22.235.183.118.194,1
