mac_cliente,frecuencia
8.212.12.130.83.142,17
172.253.206.125.31.69,13
216.252.147.127.63.210,12
0.135.1.143.215.55,11
160.211.122.242.196.197,5
160.211.122.242.202.176,5
240.3.140.45.251.130,4
160.136.105.217.238.170,4
184.8.207.139.35.131,4
184.8.207.139.103.43,4
60.187.253.228.163.129,3
184.8.207.139.180.86,3
184.8.207.139.175.96,3
180.213.189.242.137.216,3
160.136.105.218.36.181,3
160.136.105.218.21.36,3
160.211.122.242.210.83,3
124.28.104.47.150.217,2
24.103.176.145.17.169,2
224.118.208.87.137.208,2
220.207.150.34.218.31,2
80.200.229.161.50.65,2
0.22.235.183.118.194,2
180.213.189.242.128.35,2
160.136.105.218.33.229,1
180.247.161.149.131.218,1
184.8.207.162.195.13,1
168.184.110.135.178.22,1
224.118.208.88.66.192,1
228.70.218.66.27.126,1
160.211.122.242.222.191,1
120.195.233.74.69.158,1
40.39.191.207.36.179,1
0.52.218.7.79.116,1
0.22.235.198.105.177,1
164.186.219.182.232.30,1
