mac_cliente,frecuencia
8.212.12.130.83.142,39
172.253.206.125.31.69,26
216.252.147.127.63.210,26
176.197.89.188.18.183,14
24.33.149.227.215.219,10
0.135.1.143.215.55,10
224.118.208.87.137.208,9
148.233.121.198.198.71,8
184.8.207.139.113.203,7
24.103.176.145.17.169,7
184.8.207.139.103.43,6
240.3.140.45.251.130,6
184.8.207.139.180.86,6
184.8.207.139.175.96,6
180.213.189.242.137.216,6
160.211.122.242.222.191,6
0.22.235.183.118.194,5
160.211.122.242.205.173,4
180.213.189.242.128.35,4
160.211.122.242.210.83,4
224.118.208.88.66.192,4
124.28.104.47.150.217,4
160.136.105.218.33.229,4
160.211.122.242.196.197,4
0.22.235.183.186.106,3
164.186.219.182.233.33,3
160.136.105.218.21.36,3
160.136.105.217.238.170,3
0.22.235.198.105.177,3
160.211.122.242.202.176,2
164.186.219.182.232.30,2
160.136.105.218.36.181,2
160.136.105.218.32.35,2
0.224.76.164.100.190,2
184.8.207.139.35.131,2
20.107.114.200.159.186,2
24.33.149.198.174.162,1
64.64.167.72.216.119,1
76.73.227.75.251.56,1
40.227.71.100.178.178,1
40.39.191.157.33.63,1
40.39.191.213.236.131,1
60.5.24.130.242.68,1
0.8.34.74.226.251,1
236.16.123.251.212.19,1
220.207.150.34.218.31,1
212.40.213.106.211.69,1
20.107.114.200.88.118,1
120.146.156.189.74.58,1
0.8.34.250.255.251,1
164.186.219.182.233.34,1
164.186.219.182.233.29,1
160.136.105.217.239.164,1
136.117.152.39.250.248,1
128.155.32.162.213.16,1
96.227.172.246.132.242,1
