mac_cliente,frecuencia
176.197.89.188.18.183,35
8.212.12.130.83.142,29
216.252.147.127.63.210,26
172.253.206.125.31.69,18
0.135.1.143.215.55,13
160.136.105.218.32.35,9
120.146.156.189.74.58,8
224.118.208.87.137.208,8
0.22.235.183.118.194,8
160.211.122.242.202.176,8
160.211.122.242.210.83,7
160.136.105.218.21.36,7
160.211.122.244.44.52,7
160.211.122.242.222.191,6
104.83.88.164.135.197,6
160.211.122.242.205.173,6
24.103.176.145.17.169,6
160.136.105.218.36.181,5
160.136.105.217.238.170,5
104.83.88.164.143.196,5
4.230.118.85.125.24,4
104.83.88.164.143.117,4
184.8.207.139.180.86,4
224.118.208.88.66.192,4
160.136.105.218.33.229,3
104.83.88.164.143.201,3
180.191.246.149.46.205,3
104.83.88.164.135.195,2
224.118.208.88.44.68,2
180.213.189.242.137.216,2
0.22.235.198.105.177,2
0.22.235.183.132.90,2
104.83.88.164.143.120,2
156.42.131.173.199.128,2
60.5.24.212.72.74,1
64.240.47.184.118.206,1
0.22.235.218.189.223,1
240.154.81.24.95.180,1
8.212.12.185.103.17,1
232.147.9.166.185.210,1
88.201.53.39.174.60,1
104.83.88.165.46.46,1
184.8.207.139.175.96,1
208.49.105.108.196.213,1
208.19.253.7.93.135,1
20.31.120.57.31.99,1
20.107.114.92.117.131,1
184.8.207.163.17.165,1
184.8.207.139.24.247,1
108.196.213.74.200.153,1
184.8.207.139.103.43,1
0.39.21.236.141.190,1
164.186.219.184.101.213,1
104.83.88.164.143.116,1
16.241.242.19.200.152,1
156.42.131.207.0.132,1
92.175.6.14.152.40,1
