0.4561,0.3128,0.0075,0.0057,0.0025,0.2091,0.0062
0.3957,0.2886,0.0101,0.0078,0.0030,0.2867,0.0082
0.4327,0.2158,0.0335,0.0264,0.0133,0.2504,0.0280
0.3948,0.2006,0.0358,0.0266,0.0138,0.2985,0.0298
0.4721,0.2266,0.0209,0.0163,0.0071,0.2399,0.0172
0.5749,0.2142,0.0124,0.0090,0.0056,0.1732,0.0107
0.4473,0.2658,0.0132,0.0105,0.0053,0.2469,0.0110
0.4495,0.1981,0.0224,0.0166,0.0092,0.2853,0.0190
0.4018,0.2089,0.0260,0.0197,0.0110,0.3104,0.0222
0.4830,0.1941,0.0265,0.0195,0.0118,0.2422,0.0228
0.3265,0.2766,0.0241,0.0178,0.0107,0.3237,0.0206
0.3997,0.2715,0.0220,0.0171,0.0079,0.2638,0.0180
0.4252,0.2225,0.0268,0.0217,0.0089,0.2730,0.0220
0.5110,0.1424,0.0239,0.0187,0.0089,0.2751,0.0200
0.5768,0.1749,0.0175,0.0132,0.0066,0.1964,0.0147
0.4623,0.2067,0.0229,0.0170,0.0097,0.2617,0.0196
0.3607,0.2569,0.0277,0.0203,0.0121,0.2986,0.0237
0.2693,0.3247,0.0253,0.0187,0.0114,0.3287,0.0218
0.3543,0.1924,0.0238,0.0172,0.0105,0.3813,0.0204
0.3016,0.2467,0.0470,0.0346,0.0198,0.3102,0.0401
