mac_cliente,mac_ap,banda,antena,rssi
0.10.245.211.179.200,136.29.252.107.6.208,0,0,-97
0.10.245.211.179.200,136.29.252.107.6.208,0,1,-96
0.10.245.211.179.200,136.29.252.107.6.208,0,0,-97
0.10.245.211.179.200,136.29.252.107.6.208,0,1,-96
0.10.245.211.179.200,136.29.252.119.187.224,0,0,-98
0.10.245.211.179.200,136.29.252.119.187.224,0,1,-98
0.10.245.211.179.200,136.29.252.119.187.224,0,0,-98
0.10.245.211.179.200,136.29.252.119.187.224,0,1,-98
0.10.245.211.179.200,136.29.252.140.249.224,0,0,-92
0.10.245.211.179.200,136.29.252.140.249.224,0,1,-92
0.10.245.211.179.200,136.29.252.140.249.224,0,0,-92
0.10.245.211.179.200,136.29.252.140.249.224,0,1,-92
0.10.245.211.179.200,136.29.252.141.130.0,0,0,-94
0.10.245.211.179.200,136.29.252.141.130.0,0,1,-96
0.10.245.211.179.200,136.29.252.141.130.0,0,0,-94
0.10.245.211.179.200,136.29.252.141.130.0,0,1,-96
0.10.245.211.179.200,136.29.252.141.130.32,0,0,-91
0.10.245.211.179.200,136.29.252.141.130.32,0,1,-92
0.10.245.211.179.200,136.29.252.141.130.32,0,0,-91
0.10.245.211.179.200,136.29.252.141.130.32,0,1,-92
0.10.245.211.179.200,136.29.252.141.134.16,0,0,-97
0.10.245.211.179.200,136.29.252.141.134.16,0,1,-97
0.10.245.211.179.200,136.29.252.141.134.16,0,0,-97
0.10.245.211.179.200,136.29.252.141.134.16,0,1,-97
0.10.245.211.179.200,136.29.252.141.66.176,0,0,-96
0.10.245.211.179.200,136.29.252.141.66.176,0,1,-95
0.10.245.211.179.200,136.29.252.141.66.176,0,0,-96
0.10.245.211.179.200,136.29.252.141.66.176,0,1,-95
0.10.245.211.179.200,136.29.252.144.250.0,0,0,-96
0.10.245.211.179.200,136.29.252.144.250.0,0,1,-97
0.10.245.211.179.200,136.29.252.144.250.0,0,0,-96
0.10.245.211.179.200,136.29.252.144.250.0,0,1,-97
0.10.245.211.179.200,136.29.252.157.255.176,0,0,-92
0.10.245.211.179.200,136.29.252.157.255.176,0,1,-90
0.10.245.211.179.200,136.29.252.157.255.176,0,0,-92
0.10.245.211.179.200,136.29.252.157.255.176,0,1,-90
0.10.245.211.179.200,136.29.252.162.241.48,0,0,-96
0.10.245.211.179.200,136.29.252.162.241.48,0,1,-92
0.10.245.211.179.200,136.29.252.162.241.48,0,0,-96
0.10.245.211.179.200,136.29.252.162.241.48,0,1,-92
0.10.245.211.179.200,136.29.252.162.242.112,0,0,-87
0.10.245.211.179.200,136.29.252.162.242.112,0,1,-90
0.10.245.211.179.200,136.29.252.162.242.112,0,0,-87
0.10.245.211.179.200,136.29.252.162.242.112,0,1,-90
0.10.245.211.179.200,136.29.252.162.242.32,0,0,-93
0.10.245.211.179.200,136.29.252.162.242.32,0,1,-93
0.10.245.211.179.200,136.29.252.162.242.32,0,0,-93
0.10.245.211.179.200,136.29.252.162.242.32,0,1,-93
0.10.245.211.179.200,136.29.252.162.243.112,0,0,-95
