mac_cliente,mac_ap,banda,antena,rssi
0.10.245.166.201.4,0.225.109.178.118.144,0,0,-81
0.10.245.166.201.4,0.225.109.178.118.144,0,1,-84
0.10.245.166.201.4,0.225.109.178.118.144,0,0,-81
0.10.245.166.201.4,0.225.109.178.118.144,0,1,-84
0.10.245.166.201.4,0.225.109.178.118.144,0,0,-81
0.10.245.166.201.4,0.225.109.178.118.144,0,1,-84
0.10.245.166.201.4,0.225.109.197.4.96,0,0,-88
0.10.245.166.201.4,0.225.109.197.4.96,0,1,-87
0.10.245.166.201.4,0.225.109.197.4.96,0,0,-88
0.10.245.166.201.4,0.225.109.197.4.96,0,1,-87
0.10.245.166.201.4,0.225.109.197.4.96,0,0,-88
0.10.245.166.201.4,0.225.109.197.4.96,0,1,-87
0.10.245.166.201.4,0.225.109.197.48.0,0,0,-94
0.10.245.166.201.4,0.225.109.197.48.0,0,1,-88
0.10.245.166.201.4,0.225.109.197.48.0,0,0,-94
0.10.245.166.201.4,0.225.109.197.48.0,0,1,-88
0.10.245.166.201.4,0.225.109.197.48.0,0,0,-94
0.10.245.166.201.4,0.225.109.197.48.0,0,1,-88
0.10.245.166.201.4,0.225.109.197.51.128,0,0,-92
0.10.245.166.201.4,0.225.109.197.51.128,0,1,-90
0.10.245.166.201.4,0.225.109.197.51.128,0,0,-92
0.10.245.166.201.4,0.225.109.197.51.128,0,1,-90
0.10.245.166.201.4,0.225.109.197.51.128,0,0,-92
0.10.245.166.201.4,0.225.109.197.51.128,0,1,-90
0.10.245.166.201.4,0.225.109.200.91.112,0,0,-87
0.10.245.166.201.4,0.225.109.200.91.112,0,1,-93
0.10.245.166.201.4,0.225.109.200.91.112,0,0,-87
0.10.245.166.201.4,0.225.109.200.91.112,0,1,-93
0.10.245.166.201.4,0.225.109.200.91.112,0,0,-87
0.10.245.166.201.4,0.225.109.200.91.112,0,1,-93
0.10.245.166.201.4,0.225.109.200.95.128,0,0,-94
0.10.245.166.201.4,0.225.109.200.95.128,0,1,-89
0.10.245.166.201.4,0.225.109.200.95.128,0,0,-94
0.10.245.166.201.4,0.225.109.200.95.128,0,1,-89
0.10.245.166.201.4,0.225.109.200.95.128,0,0,-94
0.10.245.166.201.4,0.225.109.200.95.128,0,1,-89
0.10.245.166.201.4,0.66.104.206.103.16,0,0,-89
0.10.245.166.201.4,0.66.104.206.103.16,0,1,-86
0.10.245.166.201.4,0.66.104.206.103.16,0,0,-89
0.10.245.166.201.4,0.66.104.206.103.16,0,1,-86
0.10.245.166.201.4,0.66.104.206.103.16,0,0,-89
0.10.245.166.201.4,0.66.104.206.103.16,0,1,-86
0.10.245.166.201.4,0.66.104.253.57.224,0,0,-96
0.10.245.166.201.4,0.66.104.253.57.224,0,1,-96
0.10.245.166.201.4,0.66.104.253.57.224,0,0,-96
0.10.245.166.201.4,0.66.104.253.57.224,0,1,-96
0.10.245.166.201.4,0.66.104.253.57.224,0,0,-96
0.10.245.166.201.4,0.66.104.253.57.224,0,1,-96
0.10.245.166.201.4,188.103.28.100.55.80,0,0,-76
0.10.245.166.201.4,188.103.28.100.55.80,0,1,-82
0.10.245.166.201.4,188.103.28.100.55.80,0,0,-76
0.10.245.166.201.4,188.103.28.100.55.80,0,1,-82
0.10.245.166.201.4,188.103.28.100.55.80,0,0,-76
0.10.245.166.201.4,188.103.28.100.55.80,0,1,-82
0.10.245.166.201.4,188.103.28.88.105.48,0,0,-91
0.10.245.166.201.4,188.103.28.88.105.48,0,1,-93
0.10.245.166.201.4,188.103.28.88.105.48,0,0,-91
0.10.245.166.201.4,188.103.28.88.105.48,0,1,-93
0.10.245.166.201.4,188.103.28.88.105.48,0,0,-91
0.10.245.166.201.4,188.103.28.88.105.48,0,1,-93
0.10.245.166.201.4,188.103.28.88.73.208,0,0,-73
0.10.245.166.201.4,188.103.28.88.73.208,0,1,-75
0.10.245.166.201.4,188.103.28.88.73.208,0,0,-73
0.10.245.166.201.4,188.103.28.88.73.208,0,1,-75
0.10.245.166.201.4,188.103.28.88.73.208,0,0,-73
0.10.245.166.201.4,188.103.28.88.73.208,0,1,-75
0.10.245.166.201.4,24.139.157.125.123.224,0,0,-83
0.10.245.166.201.4,24.139.157.125.123.224,0,1,-89
0.10.245.166.201.4,24.139.157.125.123.224,0,0,-83
0.10.245.166.201.4,24.139.157.125.123.224,0,1,-89
0.10.245.166.201.4,24.139.157.125.123.224,0,0,-83
0.10.245.166.201.4,24.139.157.125.123.224,0,1,-89
0.10.245.166.201.4,40.199.206.84.192.64,0,0,-87
0.10.245.166.201.4,40.199.206.84.192.64,0,1,-90
0.10.245.166.201.4,40.199.206.84.192.64,0,0,-87
0.10.245.166.201.4,40.199.206.84.192.64,0,1,-90
0.10.245.166.201.4,40.199.206.84.192.64,0,0,-87
0.10.245.166.201.4,40.199.206.84.192.64,0,1,-90
0.10.245.166.201.4,56.28.26.197.76.144,0,0,-82
0.10.245.166.201.4,56.28.26.197.76.144,0,1,-79
0.10.245.166.201.4,56.28.26.197.76.144,0,0,-82
0.10.245.166.201.4,56.28.26.197.76.144,0,1,-79
0.10.245.166.201.4,56.28.26.197.76.144,0,0,-82
0.10.245.166.201.4,56.28.26.197.76.144,0,1,-79
0.10.245.166.201.4,56.28.26.197.80.128,0,0,-82
