0.5681,0.1338,0.0021,0.0022,0.0001,0.2920,0.0017
0.5291,0.1175,0.0150,0.0011,0.0000,0.3365,0.0008
0.3934,0.3851,0.0058,0.0060,0.0002,0.2050,0.0045
0.2562,0.4494,0.0079,0.0082,0.0002,0.2719,0.0063
0.5806,0.2217,0.0029,0.0030,0.0001,0.1894,0.0023
0.6412,0.1623,0.0009,0.0007,0.0000,0.1943,0.0006
0.5438,0.2310,0.0033,0.0038,0.0001,0.2152,0.0029
0.3808,0.3150,0.0049,0.0058,0.0002,0.2889,0.0045
0.3322,0.3192,0.0047,0.0055,0.0002,0.3340,0.0043
0.4175,0.1805,0.0018,0.0020,0.0001,0.3965,0.0016
0.2609,0.2808,0.0031,0.0034,0.0001,0.4490,0.0027
0.3377,0.2962,0.0043,0.0047,0.0001,0.3533,0.0036
0.3800,0.3195,0.0051,0.0058,0.0002,0.2850,0.0045
0.5525,0.2761,0.0045,0.0050,0.0001,0.1579,0.0039
0.6924,0.1656,0.0025,0.0029,0.0001,0.1342,0.0023
0.5240,0.2329,0.0030,0.0035,0.0001,0.2335,0.0029
0.5326,0.2674,0.0037,0.0043,0.0001,0.1887,0.0033
0.4048,0.2824,0.0035,0.0039,0.0001,0.3023,0.0030
0.4128,0.2381,0.0029,0.0031,0.0001,0.3406,0.0024
0.3689,0.3472,0.0059,0.0071,0.0002,0.2651,0.0055
