mac_cliente,mac_ap,banda,antena,rssi,date,time,client_index,block_index,timestamp_real,timeframe
120.146.156.189.74.58,44.208.45.127.103.160,1,0,-101.0,2018-11-13,11:05:00,,,2018-11-13 11:05:00,2
120.146.156.189.74.58,44.208.45.127.103.160,1,1,-101.0,2018-11-13,11:05:00,,,2018-11-13 11:05:00,2
104.83.88.164.135.195,0.66.104.213.240.0,0,0,-43.0,2018-11-01,11:05:00,7.0,1.0,2018-11-01 11:05:00,3
104.83.88.164.135.195,0.66.104.213.240.0,0,1,-38.0,2018-11-01,11:05:00,7.0,1.0,2018-11-01 11:05:00,3
104.83.88.164.135.195,0.66.104.213.240.0,1,0,-49.0,2018-11-01,11:05:00,7.0,1.0,2018-11-01 11:05:00,3
104.83.88.164.135.195,0.66.104.213.240.0,1,1,-49.0,2018-11-01,11:05:00,7.0,1.0,2018-11-01 11:05:00,3
104.83.88.164.135.195,44.208.45.106.167.16,0,0,-98.0,2018-11-01,11:05:00,7.0,1.0,2018-11-01 11:05:00,3
104.83.88.164.135.195,44.208.45.106.167.16,0,1,-97.0,2018-11-01,11:05:00,7.0,1.0,2018-11-01 11:05:00,3
104.83.88.164.135.195,44.208.45.106.167.16,1,0,-101.0,2018-11-01,11:05:00,,,2018-11-01 11:05:00,3
104.83.88.164.135.195,44.208.45.106.167.16,1,1,-101.0,2018-11-01,11:05:00,,,2018-11-01 11:05:00,3
104.83.88.164.135.195,44.208.45.125.172.128,0,0,-95.0,2018-11-01,11:05:00,7.0,1.0,2018-11-01 11:05:00,3
104.83.88.164.135.195,44.208.45.125.172.128,0,1,-97.0,2018-11-01,11:05:00,7.0,1.0,2018-11-01 11:05:00,3
104.83.88.164.135.195,44.208.45.125.172.128,1,0,-101.0,2018-11-01,11:05:00,,,2018-11-01 11:05:00,3
104.83.88.164.135.195,44.208.45.125.172.128,1,1,-101.0,2018-11-01,11:05:00,,,2018-11-01 11:05:00,3
104.83.88.164.135.195,44.208.45.127.67.64,0,0,-68.0,2018-11-01,11:05:00,7.0,1.0,2018-11-01 11:05:00,3
104.83.88.164.135.195,44.208.45.127.67.64,0,1,-64.0,2018-11-01,11:05:00,7.0,1.0,2018-11-01 11:05:00,3
104.83.88.164.135.195,44.208.45.127.67.64,1,0,-91.0,2018-11-01,11:05:00,7.0,1.0,2018-11-01 11:05:00,3
104.83.88.164.135.195,44.208.45.127.67.64,1,1,-88.0,2018-11-01,11:05:00,7.0,1.0,2018-11-01 11:05:00,3
104.83.88.164.135.195,44.208.45.127.103.160,0,0,-99.0,2018-11-01,11:05:00,7.0,1.0,2018-11-01 11:05:00,3
104.83.88.164.135.195,44.208.45.127.103.160,0,1,-98.0,2018-11-01,11:05:00,7.0,1.0,2018-11-01 11:05:00,3
104.83.88.164.135.195,44.208.45.127.103.160,1,0,-101.0,2018-11-01,11:05:00,,,2018-11-01 11:05:00,3
104.83.88.164.135.195,44.208.45.127.103.160,1,1,-101.0,2018-11-01,11:05:00,,,2018-11-01 11:05:00,3
120.146.156.189.74.58,0.66.104.213.240.0,0,0,-101.0,2018-11-14,11:05:00,,,2018-11-14 11:05:00,3
120.146.156.189.74.58,0.66.104.213.240.0,0,1,-101.0,2018-11-14,11:05:00,,,2018-11-14 11:05:00,3
120.146.156.189.74.58,0.66.104.213.240.0,1,0,-101.0,2018-11-14,11:05:00,,,2018-11-14 11:05:00,3
120.146.156.189.74.58,0.66.104.213.240.0,1,1,-101.0,2018-11-14,11:05:00,,,2018-11-14 11:05:00,3
120.146.156.189.74.58,44.208.45.106.167.16,0,0,-79.0,2018-11-14,11:05:00,16.0,2.0,2018-11-14 11:05:00,3
120.146.156.189.74.58,44.208.45.106.167.16,0,1,-85.0,2018-11-14,11:05:00,16.0,2.0,2018-11-14 11:05:00,3
120.146.156.189.74.58,44.208.45.106.167.16,1,0,-101.0,2018-11-14,11:05:00,,,2018-11-14 11:05:00,3
120.146.156.189.74.58,44.208.45.106.167.16,1,1,-101.0,2018-11-14,11:05:00,,,2018-11-14 11:05:00,3
120.146.156.189.74.58,44.208.45.125.172.128,0,0,-93.0,2018-11-14,11:05:00,16.0,2.0,2018-11-14 11:05:00,3
120.146.156.189.74.58,44.208.45.125.172.128,0,1,-88.0,2018-11-14,11:05:00,16.0,2.0,2018-11-14 11:05:00,3
120.146.156.189.74.58,44.208.45.125.172.128,1,0,-101.0,2018-11-14,11:05:00,,,2018-11-14 11:05:00,3
120.146.156.189.74.58,44.208.45.125.172.128,1,1,-101.0,2018-11-14,11:05:00,,,2018-11-14 11:05:00,3
120.146.156.189.74.58,44.208.45.127.67.64,0,0,-101.0,2018-11-14,11:05:00,,,2018-11-14 11:05:00,3
120.146.156.189.74.58,44.208.45.127.67.64,0,1,-101.0,2018-11-14,11:05:00,,,2018-11-14 11:05:00,3
120.146.156.189.74.58,44.208.45.127.67.64,1,0,-101.0,2018-11-14,11:05:00,,,2018-11-14 11:05:00,3
120.146.156.189.74.58,44.208.45.127.67.64,1,1,-101.0,2018-11-14,11:05:00,,,2018-11-14 11:05:00,3
120.146.156.189.74.58,44.208.45.127.103.160,0,0,-60.0,2018-11-14,11:05:00,16.0,2.0,2018-11-14 11:05:00,3
120.146.156.189.74.58,44.208.45.127.103.160,0,1,-67.0,2018-11-14,11:05:00,16.0,2.0,2018-11-14 11:05:00,3
120.146.156.189.74.58,44.208.45.127.103.160,1,0,-101.0,2018-11-14,11:05:00,,,2018-11-14 11:05:00,3
120.146.156.189.74.58,44.208.45.127.103.160,1,1,-101.0,2018-11-14,11:05:00,,,2018-11-14 11:05:00,3
0.22.235.218.189.223,0.66.104.213.240.0,0,0,-94.0,2018-11-27,11:05:00,5.0,1.0,2018-11-27 11:05:00,4
0.22.235.218.189.223,0.66.104.213.240.0,0,1,-94.0,2018-11-27,11:05:00,5.0,1.0,2018-11-27 11:05:00,4
0.22.235.218.189.223,0.66.104.213.240.0,1,0,-101.0,2018-11-27,11:05:00,,,2018-11-27 11:05:00,4
0.22.235.218.189.223,0.66.104.213.240.0,1,1,-101.0,2018-11-27,11:05:00,,,2018-11-27 11:05:00,4
0.22.235.218.189.223,44.208.45.106.167.16,0,0,-55.0,2018-11-27,11:05:00,5.0,1.0,2018-11-27 11:05:00,4
