mac_cliente,mac_ap,banda,antena,rssi,date,time
0.128.146.168.121.118,24.139.157.54.52.192,0,0,-97,2018-07-01,11:05
0.128.146.168.121.118,24.139.157.54.52.192,0,1,-96,2018-07-01,11:05
0.128.146.168.121.118,24.139.157.86.93.16,0,0,-69,2018-07-01,11:05
0.128.146.168.121.118,24.139.157.86.93.16,0,1,-65,2018-07-01,11:05
0.128.146.168.121.118,24.139.157.98.84.112,0,0,-75,2018-07-01,11:05
0.128.146.168.121.118,24.139.157.98.84.112,0,1,-93,2018-07-01,11:05
0.128.146.168.121.118,24.139.157.98.92.32,0,0,-98,2018-07-01,11:05
0.128.146.168.121.118,24.139.157.98.92.32,0,1,-92,2018-07-01,11:05
0.128.146.168.121.118,24.139.157.125.121.192,0,0,-84,2018-07-01,11:05
0.128.146.168.121.118,24.139.157.125.121.192,0,1,-95,2018-07-01,11:05
0.128.146.168.121.118,28.106.122.181.189.112,0,0,-88,2018-07-01,11:05
0.128.146.168.121.118,28.106.122.181.189.112,0,1,-89,2018-07-01,11:05
0.128.146.168.121.118,28.106.122.233.94.224,0,0,-90,2018-07-01,11:05
0.128.146.168.121.118,28.106.122.233.94.224,0,1,-95,2018-07-01,11:05
0.128.146.168.121.118,28.106.122.233.108.176,0,0,-93,2018-07-01,11:05
0.128.146.168.121.118,28.106.122.233.108.176,0,1,-94,2018-07-01,11:05
0.128.146.168.121.118,28.106.122.235.175.0,0,0,-87,2018-07-01,11:05
0.128.146.168.121.118,28.106.122.235.175.0,0,1,-87,2018-07-01,11:05
0.128.146.168.121.118,24.139.157.54.52.192,0,0,-97,2018-07-01,15:05
0.128.146.168.121.118,24.139.157.54.52.192,0,1,-97,2018-07-01,15:05
0.128.146.168.121.118,24.139.157.86.93.16,0,0,-67,2018-07-01,15:05
0.128.146.168.121.118,24.139.157.86.93.16,0,1,-63,2018-07-01,15:05
0.128.146.168.121.118,24.139.157.98.84.112,0,0,-74,2018-07-01,15:05
0.128.146.168.121.118,24.139.157.98.84.112,0,1,-70,2018-07-01,15:05
0.128.146.168.121.118,24.139.157.98.92.32,0,0,-93,2018-07-01,15:05
0.128.146.168.121.118,24.139.157.98.92.32,0,1,-93,2018-07-01,15:05
0.128.146.168.121.118,24.139.157.125.121.192,0,0,-92,2018-07-01,15:05
0.128.146.168.121.118,24.139.157.125.121.192,0,1,-78,2018-07-01,15:05
0.128.146.168.121.118,28.106.122.181.189.112,0,0,-91,2018-07-01,15:05
0.128.146.168.121.118,28.106.122.181.189.112,0,1,-94,2018-07-01,15:05
