mac_cliente,mac_ap,banda,antena,rssi,date,time
0.22.235.218.191.21,24.139.157.54.52.192,0,0,-76,2018-08-01,11:05
0.22.235.218.191.21,24.139.157.54.52.192,0,1,-69,2018-08-01,11:05
0.22.235.218.191.21,24.139.157.54.52.192,1,0,-93,2018-08-01,11:05
0.22.235.218.191.21,24.139.157.54.52.192,1,1,-94,2018-08-01,11:05
0.22.235.218.191.21,24.139.157.98.92.32,0,0,-96,2018-08-01,11:05
0.22.235.218.191.21,24.139.157.98.92.32,0,1,-92,2018-08-01,11:05
0.22.235.218.191.21,24.139.157.125.140.32,0,0,-43,2018-08-01,11:05
0.22.235.218.191.21,24.139.157.125.140.32,0,1,-37,2018-08-01,11:05
0.22.235.218.191.21,24.139.157.125.140.32,1,0,-52,2018-08-01,11:05
0.22.235.218.191.21,24.139.157.125.140.32,1,1,-49,2018-08-01,11:05
0.22.235.218.191.21,28.106.122.181.189.112,0,0,-90,2018-08-01,11:05
0.22.235.218.191.21,28.106.122.181.189.112,0,1,-92,2018-08-01,11:05
0.22.235.218.191.21,28.106.122.233.108.176,0,0,-64,2018-08-01,11:05
0.22.235.218.191.21,28.106.122.233.108.176,0,1,-68,2018-08-01,11:05
0.22.235.218.191.21,28.106.122.233.108.176,1,0,-85,2018-08-01,11:05
0.22.235.218.191.21,28.106.122.233.108.176,1,1,-85,2018-08-01,11:05
0.128.146.168.121.118,24.139.157.54.52.192,0,0,-94,2018-08-01,11:05
0.128.146.168.121.118,24.139.157.54.52.192,0,1,-94,2018-08-01,11:05
0.128.146.168.121.118,24.139.157.98.84.112,0,0,-66,2018-08-01,11:05
0.128.146.168.121.118,24.139.157.98.84.112,0,1,-72,2018-08-01,11:05
0.128.146.168.121.118,24.139.157.98.92.32,0,0,-99,2018-08-01,11:05
0.128.146.168.121.118,24.139.157.98.92.32,0,1,-98,2018-08-01,11:05
0.128.146.168.121.118,24.139.157.125.121.192,0,0,-74,2018-08-01,11:05
0.128.146.168.121.118,24.139.157.125.121.192,0,1,-89,2018-08-01,11:05
0.128.146.168.121.118,28.106.122.181.189.112,0,0,-92,2018-08-01,11:05
0.128.146.168.121.118,28.106.122.181.189.112,0,1,-91,2018-08-01,11:05
0.128.146.168.121.118,28.106.122.233.94.224,0,0,-93,2018-08-01,11:05
0.128.146.168.121.118,28.106.122.233.94.224,0,1,-91,2018-08-01,11:05
0.128.146.168.121.118,28.106.122.233.108.176,0,0,-94,2018-08-01,11:05
0.128.146.168.121.118,28.106.122.233.108.176,0,1,-97,2018-08-01,11:05
0.128.146.168.121.118,28.106.122.235.175.0,0,0,-88,2018-08-01,11:05
0.128.146.168.121.118,28.106.122.235.175.0,0,1,-87,2018-08-01,11:05
0.135.1.186.126.84,28.106.122.181.189.112,0,0,-75,2018-08-01,11:05
0.135.1.186.126.84,28.106.122.181.189.112,0,1,-71,2018-08-01,11:05
0.135.1.186.126.84,28.106.122.233.108.176,0,0,-75,2018-08-01,11:05
0.135.1.186.126.84,28.106.122.233.108.176,0,1,-81,2018-08-01,11:05
0.135.1.189.82.180,24.139.157.54.52.192,0,0,-87,2018-08-01,11:05
0.135.1.189.82.180,24.139.157.54.52.192,0,1,-90,2018-08-01,11:05
0.135.1.189.82.180,24.139.157.125.121.192,0,0,-87,2018-08-01,11:05
0.135.1.189.82.180,24.139.157.125.121.192,0,1,-88,2018-08-01,11:05
0.135.1.189.82.180,28.106.122.235.175.0,0,0,-61,2018-08-01,11:05
0.135.1.189.82.180,28.106.122.235.175.0,0,1,-61,2018-08-01,11:05
4.177.103.20.91.30,28.106.122.235.175.0,0,0,-72,2018-08-01,11:05
4.177.103.20.91.30,28.106.122.235.175.0,0,1,-87,2018-08-01,11:05
8.33.239.181.17.148,28.106.122.233.94.224,0,0,-45,2018-08-01,11:05
8.33.239.181.17.148,28.106.122.233.94.224,0,1,-45,2018-08-01,11:05
8.129.188.49.13.201,24.139.157.54.52.192,0,0,-98,2018-08-01,11:05
8.129.188.49.13.201,24.139.157.54.52.192,0,1,-97,2018-08-01,11:05
8.129.188.49.13.201,24.139.157.98.92.32,0,0,-47,2018-08-01,11:05
8.129.188.49.13.201,24.139.157.98.92.32,0,1,-62,2018-08-01,11:05
8.129.188.49.13.201,24.139.157.125.140.32,0,0,-95,2018-08-01,11:05
8.129.188.49.13.201,24.139.157.125.140.32,0,1,-96,2018-08-01,11:05
8.129.188.49.13.201,28.106.122.181.189.112,0,0,-86,2018-08-01,11:05
8.129.188.49.13.201,28.106.122.181.189.112,0,1,-86,2018-08-01,11:05
8.129.188.49.13.201,28.106.122.233.94.224,0,0,-85,2018-08-01,11:05
8.129.188.49.13.201,28.106.122.233.94.224,0,1,-84,2018-08-01,11:05
20.31.120.95.79.84,24.139.157.54.52.192,0,0,-94,2018-08-01,11:05
20.31.120.95.79.84,24.139.157.54.52.192,0,1,-93,2018-08-01,11:05
20.31.120.95.79.84,24.139.157.125.121.192,0,0,-80,2018-08-01,11:05
20.31.120.95.79.84,24.139.157.125.121.192,0,1,-83,2018-08-01,11:05
20.31.120.95.79.84,24.139.157.125.140.32,0,0,-71,2018-08-01,11:05
20.31.120.95.79.84,24.139.157.125.140.32,0,1,-71,2018-08-01,11:05
20.31.120.95.79.84,28.106.122.181.189.112,0,0,-83,2018-08-01,11:05
20.31.120.95.79.84,28.106.122.181.189.112,0,1,-85,2018-08-01,11:05
20.31.120.95.79.84,28.106.122.233.108.176,0,0,-92,2018-08-01,11:05
20.31.120.95.79.84,28.106.122.233.108.176,0,1,-86,2018-08-01,11:05
20.31.120.171.136.208,24.139.157.125.121.192,0,0,-80,2018-08-01,11:05
20.31.120.171.136.208,24.139.157.125.121.192,0,1,-84,2018-08-01,11:05
20.31.120.171.136.208,24.139.157.125.140.32,0,0,-83,2018-08-01,11:05
20.31.120.171.136.208,24.139.157.125.140.32,0,1,-87,2018-08-01,11:05
20.31.120.171.136.208,28.106.122.181.189.112,0,0,-89,2018-08-01,11:05
20.31.120.171.136.208,28.106.122.181.189.112,0,1,-91,2018-08-01,11:05
20.31.120.226.198.249,24.139.157.54.52.192,0,0,-98,2018-08-01,11:05
20.31.120.226.198.249,24.139.157.54.52.192,0,1,-99,2018-08-01,11:05
20.31.120.226.198.249,24.139.157.98.92.32,0,0,-56,2018-08-01,11:05
20.31.120.226.198.249,24.139.157.98.92.32,0,1,-51,2018-08-01,11:05
20.31.120.226.198.249,24.139.157.125.121.192,0,0,-96,2018-08-01,11:05
20.31.120.226.198.249,24.139.157.125.121.192,0,1,-97,2018-08-01,11:05
20.31.120.226.198.249,24.139.157.125.140.32,0,0,-92,2018-08-01,11:05
20.31.120.226.198.249,24.139.157.125.140.32,0,1,-94,2018-08-01,11:05
20.31.120.226.198.249,28.106.122.181.189.112,0,0,-79,2018-08-01,11:05
20.31.120.226.198.249,28.106.122.181.189.112,0,1,-79,2018-08-01,11:05
20.31.120.226.198.249,28.106.122.233.94.224,0,0,-64,2018-08-01,11:05
20.31.120.226.198.249,28.106.122.233.94.224,0,1,-66,2018-08-01,11:05
20.31.120.226.198.249,28.106.122.233.108.176,0,0,-67,2018-08-01,11:05
20.31.120.226.198.249,28.106.122.233.108.176,0,1,-66,2018-08-01,11:05
20.107.114.104.187.121,24.139.157.98.84.112,0,0,-97,2018-08-01,11:05
20.107.114.104.187.121,24.139.157.98.84.112,0,1,-92,2018-08-01,11:05
20.107.114.104.187.121,24.139.157.125.121.192,0,0,-94,2018-08-01,11:05
20.107.114.104.187.121,24.139.157.125.121.192,0,1,-89,2018-08-01,11:05
20.107.114.104.187.121,28.106.122.235.175.0,0,0,-81,2018-08-01,11:05
20.107.114.104.187.121,28.106.122.235.175.0,0,1,-75,2018-08-01,11:05
20.107.114.200.48.52,24.139.157.125.140.32,0,0,-83,2018-08-01,11:05
20.107.114.200.48.52,24.139.157.125.140.32,0,1,-70,2018-08-01,11:05
20.157.9.182.237.89,28.106.122.181.189.112,0,0,-77,2018-08-01,11:05
20.157.9.182.237.89,28.106.122.181.189.112,0,1,-65,2018-08-01,11:05
20.157.9.182.237.89,28.106.122.233.94.224,0,0,-90,2018-08-01,11:05
20.157.9.182.237.89,28.106.122.233.94.224,0,1,-90,2018-08-01,11:05
20.159.60.10.137.181,24.139.157.54.52.192,0,0,-60,2018-08-01,11:05
20.159.60.10.137.181,24.139.157.54.52.192,0,1,-52,2018-08-01,11:05
20.159.60.10.137.181,24.139.157.98.92.32,0,0,-95,2018-08-01,11:05
20.159.60.10.137.181,24.139.157.98.92.32,0,1,-95,2018-08-01,11:05
20.159.60.10.137.181,24.139.157.125.121.192,0,0,-76,2018-08-01,11:05
20.159.60.10.137.181,24.139.157.125.121.192,0,1,-72,2018-08-01,11:05
20.159.60.10.137.181,24.139.157.125.140.32,0,0,-87,2018-08-01,11:05
20.159.60.10.137.181,24.139.157.125.140.32,0,1,-89,2018-08-01,11:05
20.159.60.10.137.181,28.106.122.181.189.112,0,0,-83,2018-08-01,11:05
20.159.60.10.137.181,28.106.122.181.189.112,0,1,-87,2018-08-01,11:05
20.159.60.10.137.181,28.106.122.233.94.224,0,0,-89,2018-08-01,11:05
20.159.60.10.137.181,28.106.122.233.94.224,0,1,-93,2018-08-01,11:05
20.159.60.10.137.181,28.106.122.235.175.0,0,0,-84,2018-08-01,11:05
20.159.60.10.137.181,28.106.122.235.175.0,0,1,-86,2018-08-01,11:05
20.165.26.105.170.29,28.106.122.235.175.0,0,0,-53,2018-08-01,11:05
20.165.26.105.170.29,28.106.122.235.175.0,0,1,-57,2018-08-01,11:05
24.0.45.156.95.224,24.139.157.98.84.112,1,0,-91,2018-08-01,11:05
24.0.45.156.95.224,24.139.157.98.84.112,1,1,-90,2018-08-01,11:05
24.0.45.156.95.224,24.139.157.98.92.32,1,0,-94,2018-08-01,11:05
24.0.45.156.95.224,24.139.157.98.92.32,1,1,-92,2018-08-01,11:05
24.0.45.156.95.224,24.139.157.125.121.192,1,0,-93,2018-08-01,11:05
24.0.45.156.95.224,24.139.157.125.121.192,1,1,-94,2018-08-01,11:05
24.0.45.156.95.224,28.106.122.181.189.112,0,0,-59,2018-08-01,11:05
24.0.45.156.95.224,28.106.122.181.189.112,0,1,-64,2018-08-01,11:05
24.240.228.126.245.248,24.139.157.54.52.192,0,0,-88,2018-08-01,11:05
24.240.228.126.245.248,24.139.157.54.52.192,0,1,-93,2018-08-01,11:05
24.240.228.126.245.248,24.139.157.125.121.192,0,0,-66,2018-08-01,11:05
24.240.228.126.245.248,24.139.157.125.121.192,0,1,-71,2018-08-01,11:05
28.35.44.119.29.141,24.139.157.98.92.32,0,0,-44,2018-08-01,11:05
28.35.44.119.29.141,24.139.157.98.92.32,0,1,-47,2018-08-01,11:05
28.35.44.119.29.141,28.106.122.181.189.112,0,0,-80,2018-08-01,11:05
28.35.44.119.29.141,28.106.122.181.189.112,0,1,-80,2018-08-01,11:05
28.35.44.119.29.141,28.106.122.233.94.224,0,0,-81,2018-08-01,11:05
28.35.44.119.29.141,28.106.122.233.94.224,0,1,-87,2018-08-01,11:05
28.123.33.161.221.241,24.139.157.98.92.32,0,0,-76,2018-08-01,11:05
28.123.33.161.221.241,24.139.157.98.92.32,0,1,-69,2018-08-01,11:05
28.123.33.161.221.241,24.139.157.98.92.32,1,0,-61,2018-08-01,11:05
28.123.33.161.221.241,24.139.157.98.92.32,1,1,-55,2018-08-01,11:05
28.123.33.161.221.241,28.106.122.181.189.112,0,0,-92,2018-08-01,11:05
28.123.33.161.221.241,28.106.122.181.189.112,0,1,-85,2018-08-01,11:05
28.123.33.161.221.241,28.106.122.233.94.224,0,0,-75,2018-08-01,11:05
28.123.33.161.221.241,28.106.122.233.94.224,0,1,-76,2018-08-01,11:05
28.123.33.161.221.241,28.106.122.233.94.224,1,0,-84,2018-08-01,11:05
28.123.33.161.221.241,28.106.122.233.94.224,1,1,-86,2018-08-01,11:05
32.45.7.252.56.242,24.139.157.54.52.192,0,0,-98,2018-08-01,11:05
32.45.7.252.56.242,24.139.157.54.52.192,0,1,-96,2018-08-01,11:05
32.45.7.252.56.242,24.139.157.98.84.112,0,0,-97,2018-08-01,11:05
32.45.7.252.56.242,24.139.157.98.84.112,0,1,-99,2018-08-01,11:05
32.45.7.252.56.242,24.139.157.98.92.32,0,0,-36,2018-08-01,11:05
32.45.7.252.56.242,24.139.157.98.92.32,0,1,-34,2018-08-01,11:05
32.45.7.252.56.242,24.139.157.125.121.192,0,0,-94,2018-08-01,11:05
32.45.7.252.56.242,24.139.157.125.121.192,0,1,-96,2018-08-01,11:05
32.45.7.252.56.242,24.139.157.125.140.32,0,0,-93,2018-08-01,11:05
32.45.7.252.56.242,24.139.157.125.140.32,0,1,-99,2018-08-01,11:05
32.45.7.252.56.242,28.106.122.181.189.112,0,0,-78,2018-08-01,11:05
32.45.7.252.56.242,28.106.122.181.189.112,0,1,-82,2018-08-01,11:05
32.45.7.252.56.242,28.106.122.233.94.224,0,0,-68,2018-08-01,11:05
32.45.7.252.56.242,28.106.122.233.94.224,0,1,-74,2018-08-01,11:05
32.45.7.252.56.242,28.106.122.233.108.176,0,0,-94,2018-08-01,11:05
32.45.7.252.56.242,28.106.122.233.108.176,0,1,-96,2018-08-01,11:05
36.24.29.44.8.214,24.139.157.54.52.192,0,0,-97,2018-08-01,11:05
36.24.29.44.8.214,24.139.157.54.52.192,0,1,-94,2018-08-01,11:05
36.24.29.44.8.214,24.139.157.125.140.32,1,0,-64,2018-08-01,11:05
36.24.29.44.8.214,24.139.157.125.140.32,1,1,-54,2018-08-01,11:05
36.24.29.44.8.214,28.106.122.233.108.176,0,0,-79,2018-08-01,11:05
36.24.29.44.8.214,28.106.122.233.108.176,0,1,-95,2018-08-01,11:05
36.219.237.108.110.215,24.139.157.54.52.192,0,0,-91,2018-08-01,11:05
36.219.237.108.110.215,24.139.157.54.52.192,0,1,-94,2018-08-01,11:05
36.219.237.108.110.215,24.139.157.98.84.112,0,0,-90,2018-08-01,11:05
36.219.237.108.110.215,24.139.157.98.84.112,0,1,-88,2018-08-01,11:05
36.219.237.108.110.215,24.139.157.98.92.32,0,0,-84,2018-08-01,11:05
36.219.237.108.110.215,24.139.157.98.92.32,0,1,-76,2018-08-01,11:05
36.219.237.108.110.215,24.139.157.125.121.192,0,0,-92,2018-08-01,11:05
36.219.237.108.110.215,24.139.157.125.121.192,0,1,-89,2018-08-01,11:05
36.219.237.108.110.215,24.139.157.125.140.32,0,0,-90,2018-08-01,11:05
36.219.237.108.110.215,24.139.157.125.140.32,0,1,-97,2018-08-01,11:05
36.219.237.108.110.215,28.106.122.181.189.112,0,0,-60,2018-08-01,11:05
36.219.237.108.110.215,28.106.122.181.189.112,0,1,-66,2018-08-01,11:05
36.219.237.108.110.215,28.106.122.233.108.176,0,0,-88,2018-08-01,11:05
36.219.237.108.110.215,28.106.122.233.108.176,0,1,-95,2018-08-01,11:05
40.160.43.230.5.214,28.106.122.181.189.112,1,0,-60,2018-08-01,11:05
40.160.43.230.5.214,28.106.122.181.189.112,1,1,-53,2018-08-01,11:05
44.51.122.88.21.249,24.139.157.125.121.192,0,0,-95,2018-08-01,11:05
44.51.122.88.21.249,24.139.157.125.121.192,0,1,-98,2018-08-01,11:05
44.51.122.88.21.249,24.139.157.125.140.32,0,0,-77,2018-08-01,11:05
44.51.122.88.21.249,24.139.157.125.140.32,0,1,-81,2018-08-01,11:05
44.51.122.88.21.249,28.106.122.233.108.176,0,0,-56,2018-08-01,11:05
44.51.122.88.21.249,28.106.122.233.108.176,0,1,-52,2018-08-01,11:05
44.240.162.91.235.65,24.139.157.54.52.192,0,0,-71,2018-08-01,11:05
44.240.162.91.235.65,24.139.157.54.52.192,0,1,-76,2018-08-01,11:05
44.240.162.91.235.65,24.139.157.54.52.192,1,0,-85,2018-08-01,11:05
44.240.162.91.235.65,24.139.157.54.52.192,1,1,-81,2018-08-01,11:05
